fastq sample_id sra_folder date_released id unit_seq_run release_lane
MLFH_1_1_20180409_CKDL210000711-1a-AK11638-AK9050_HFLJFCCX2_L6_1.fq.gz MLFH_1_1_20180409 2021-01-29-ath-greneone-release-01 2021-01-29 MLFH010120180409 1 L6
MLFH_1_1_20180409_CKDL210000711-1a-AK11638-AK9050_HFLHHCCX2_L2_1.fq.gz MLFH_1_1_20180409 2021-02-18-ath-greneone-release-03 2021-02-18 MLFH010120180409 2 L2
MLFH_1_1_20180423_CKDL210000711-1a-AK33987-AK9050_HFLJFCCX2_L6_1.fq.gz MLFH_1_1_20180423 2021-01-29-ath-greneone-release-01 2021-01-29 MLFH010120180423 1 L6
MLFH_1_1_20180423_CKDL210000711-1a-AK33987-AK9050_HFLHHCCX2_L2_1.fq.gz MLFH_1_1_20180423 2021-02-18-ath-greneone-release-03 2021-02-18 MLFH010120180423 2 L2
MLFH_1_1_20180507_CKDL210000711-1a-AK28238-AK9050_HFLJFCCX2_L6_1.fq.gz MLFH_1_1_20180507 2021-01-29-ath-greneone-release-01 2021-01-29 MLFH010120180507 1 L6
MLFH_1_1_20180507_CKDL210000711-1a-AK28238-AK9050_HFLHHCCX2_L2_1.fq.gz MLFH_1_1_20180507 2021-02-18-ath-greneone-release-03 2021-02-18 MLFH010120180507 2 L2
MLFH_1_1_20180518_CKDL210000711-1a-AK9787-AK9050_HFLJFCCX2_L6_1.fq.gz MLFH_1_1_20180518 2021-01-29-ath-greneone-release-01 2021-01-29 MLFH010120180518 1 L6
MLFH_1_1_20180518_CKDL210000711-1a-AK9787-AK9050_HFLHHCCX2_L2_1.fq.gz MLFH_1_1_20180518 2021-02-18-ath-greneone-release-03 2021-02-18 MLFH010120180518 2 L2
MLFH_1_1_20190401_CKDL210000711-1a-AK34069-AK9050_HFLJFCCX2_L6_1.fq.gz MLFH_1_1_20190401 2021-01-29-ath-greneone-release-01 2021-01-29 MLFH010120190401 1 L6
MLFH_1_1_20190401_CKDL210000711-1a-AK34069-AK9050_HFLHHCCX2_L2_1.fq.gz MLFH_1_1_20190401 2021-02-18-ath-greneone-release-03 2021-02-18 MLFH010120190401 2 L2
MLFH_1_1_20190415_CKDL210000711-1a-AK34070-AK9050_HFLJFCCX2_L6_1.fq.gz MLFH_1_1_20190415 2021-01-29-ath-greneone-release-01 2021-01-29 MLFH010120190415 1 L6
MLFH_1_1_20190415_CKDL210000711-1a-AK34070-AK9050_HFLHHCCX2_L2_1.fq.gz MLFH_1_1_20190415 2021-02-18-ath-greneone-release-03 2021-02-18 MLFH010120190415 2 L2
MLFH_1_1_20190429_CKDL210000711-1a-7UDI1539-AK9050_HFLJFCCX2_L6_1.fq.gz MLFH_1_1_20190429 2021-01-29-ath-greneone-release-01 2021-01-29 MLFH010120190429 1 L6
MLFH_1_1_20190429_CKDL210000711-1a-7UDI1539-AK9050_HFLHHCCX2_L2_1.fq.gz MLFH_1_1_20190429 2021-02-18-ath-greneone-release-03 2021-02-18 MLFH010120190429 2 L2
MLFH_1_1_20190513_CKDL210000711-1a-7UDI1971-AK9050_HFLJFCCX2_L6_1.fq.gz MLFH_1_1_20190513 2021-01-29-ath-greneone-release-01 2021-01-29 MLFH010120190513 1 L6
MLFH_1_1_20190513_CKDL210000711-1a-7UDI1971-AK9050_HFLHHCCX2_L2_1.fq.gz MLFH_1_1_20190513 2021-02-18-ath-greneone-release-03 2021-02-18 MLFH010120190513 2 L2
MLFH_1_1_20190528_CKDL210000711-1a-AK11638-AK8191_HFLJFCCX2_L6_1.fq.gz MLFH_1_1_20190528 2021-01-29-ath-greneone-release-01 2021-01-29 MLFH010120190528 1 L6
MLFH_1_1_20190528_CKDL210000711-1a-AK11638-AK8191_HFLHHCCX2_L2_1.fq.gz MLFH_1_1_20190528 2021-02-18-ath-greneone-release-03 2021-02-18 MLFH010120190528 2 L2
MLFH_1_2_20180409_CKDL210000711-1a-AK10689-AK9050_HFLJFCCX2_L6_1.fq.gz MLFH_1_2_20180409 2021-01-29-ath-greneone-release-01 2021-01-29 MLFH010220180409 1 L6
MLFH_1_2_20180409_CKDL210000711-1a-AK10689-AK9050_HFLHHCCX2_L2_1.fq.gz MLFH_1_2_20180409 2021-02-18-ath-greneone-release-03 2021-02-18 MLFH010220180409 2 L2
MLFH_1_2_20180423_CKDL210000711-1a-AK34068-AK9050_HFLJFCCX2_L6_1.fq.gz MLFH_1_2_20180423 2021-01-29-ath-greneone-release-01 2021-01-29 MLFH010220180423 1 L6
MLFH_1_2_20180423_CKDL210000711-1a-AK34068-AK9050_HFLHHCCX2_L2_1.fq.gz MLFH_1_2_20180423 2021-02-18-ath-greneone-release-03 2021-02-18 MLFH010220180423 2 L2
MLFH_1_2_20180507_CKDL210000711-1a-AK31398-AK9050_HFLJFCCX2_L6_1.fq.gz MLFH_1_2_20180507 2021-01-29-ath-greneone-release-01 2021-01-29 MLFH010220180507 1 L6
